mode	args	run	rc	seconds
shared	50	0	0	8.4
shared	50	1	0	8.4
shared	50	2	0	8.4
shared	50	3	0	8.4
shared	50	4	0	8.4
shared	50	5	0	8.5
shared	50	6	0	8.4
shared	50	7	0	8.5
shared	50	8	0	8.5
shared	50	9	0	8.4
shared	50	10	0	8.4
shared	50	11	0	8.4
shared	50	12	0	8.4
shared	50	13	0	8.4
shared	50	14	0	8.5
shared	50	15	0	8.5
shared	50	16	0	8.4
shared	50	17	0	8.4
shared	50	18	0	8.4
shared	50	19	0	8.4
per-peer	50	0	0	8.6
per-peer	50	1	0	8.6
per-peer	50	2	0	8.6
per-peer	50	3	0	8.6
per-peer	50	4	0	8.7
per-peer	50	5	0	8.6
per-peer	50	6	0	8.6
per-peer	50	7	0	8.6
per-peer	50	8	0	8.7
per-peer	50	9	0	8.7
per-peer	50	10	0	8.6
per-peer	50	11	0	9.1
per-peer	50	12	0	9.5
per-peer	50	13	0	9.6
per-peer	50	14	0	9.5
per-peer	50	15	0	9.2
per-peer	50	16	0	8.6
per-peer	50	17	0	8.6
per-peer	50	18	0	8.6
per-peer	50	19	0	8.6
renewal	30	0	0	20.3
renewal	30	1	0	20.3
renewal	30	2	0	20.2
renewal	30	3	0	20.3
renewal	30	4	0	20.4
renewal	30	5	0	20.3
renewal	30	6	0	20.3
renewal	30	7	0	20.3
renewal	30	8	0	20.2
renewal	30	9	0	20.2
renewal	30	10	0	20.4
renewal	30	11	0	20.4
renewal	30	12	0	20.5
renewal	30	13	0	20.6
renewal	30	14	0	20.5
renewal	30	15	0	20.7
renewal	30	16	0	20.8
renewal	30	17	0	20.3
renewal	30	18	0	20.2
renewal	30	19	0	20.2
drop-live	30	0	0	8.1
drop-live	30	1	0	8.1
drop-live	30	2	0	8.1
drop-live	30	3	0	8.2
drop-live	30	4	0	8.1
drop-live	30	5	0	8.2
drop-live	30	6	0	8.2
drop-live	30	7	0	8.1
drop-live	30	8	0	8.1
drop-live	30	9	0	8.1
drop-live	30	10	0	8.1
drop-live	30	11	0	8.1
drop-live	30	12	0	8.1
drop-live	30	13	0	8.1
drop-live	30	14	0	8.1
drop-live	30	15	0	8.1
drop-live	30	16	0	8.1
drop-live	30	17	0	8.1
drop-live	30	18	0	8.1
drop-live	30	19	0	8.1
seq	2000	0	0	11.4
seq	2000	1	0	11.2
seq	2000	2	0	11.3
seq	2000	3	0	11.2
seq	2000	4	0	12.1
seq	2000	5	0	12.0
seq	2000	6	0	11.0
seq	2000	7	0	11.6
seq	2000	8	0	11.7
seq	2000	9	0	11.0
seq	2000	10	0	11.1
seq	2000	11	0	10.7
seq	2000	12	0	10.6
seq	2000	13	0	10.5
seq	2000	14	0	11.3
seq	2000	15	0	11.5
seq	2000	16	0	11.5
seq	2000	17	0	11.1
seq	2000	18	0	10.8
seq	2000	19	0	11.1
churn	500 4	0	0	2.3
churn	500 4	1	0	2.4
churn	500 4	2	0	2.2
churn	500 4	3	0	2.4
churn	500 4	4	0	2.3
churn	500 4	5	0	2.4
churn	500 4	6	0	2.0
churn	500 4	7	0	2.1
churn	500 4	8	0	2.3
churn	500 4	9	0	2.3
churn	500 4	10	0	2.1
churn	500 4	11	0	2.2
churn	500 4	12	0	2.4
churn	500 4	13	0	2.4
churn	500 4	14	0	2.4
churn	500 4	15	0	2.2
churn	500 4	16	0	2.3
churn	500 4	17	0	2.4
churn	500 4	18	0	2.1
churn	500 4	19	0	2.2
